City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Busselton,0,AU,1581537448,48,-33.65,115.33,71.01,9.64
Lahaina,20,US,1581537423,64,20.88,-156.68,75.2,4.7
Magdalena,20,PH,1581537448,78,14.2,121.43,75.2,4.7
Cabo San Lucas,5,MX,1581537449,55,22.89,-109.91,73.0,9.17
Pangnirtung,40,CA,1581537448,67,66.15,-65.71,-22.0,1.43
George Town,40,MY,1581537427,88,5.41,100.34,80.6,8.05
Pierre,75,US,1581537449,65,44.37,-100.35,9.0,21.92
Ushuaia,40,AR,1581537450,50,-54.8,-68.3,55.4,23.04
Miguel Hidalgo,5,MX,1581537450,22,19.42,-99.2,80.6,6.93
Hermanus,0,ZA,1581537450,79,-34.42,19.23,72.0,7.0
Saskylakh,100,RU,1581537450,86,71.92,114.08,-17.59,8.3
Bluff,89,NZ,1581537450,95,-46.6,168.33,57.99,5.01
Hokitika,100,NZ,1581537451,82,-42.72,170.97,59.0,3.85
Chabahar,36,IR,1581537451,82,25.29,60.64,66.2,9.26
Alyangula,31,AU,1581537451,83,-13.85,136.42,84.2,8.05
Novovarshavka,33,RU,1581537451,79,54.17,74.69,-0.72,10.69
Port Elizabeth,0,ZA,1581537451,73,-33.92,25.57,71.6,14.99
Rovaniemi,90,FI,1581537452,92,66.5,25.72,30.2,10.29
Anchorage,90,US,1581537220,79,61.22,-149.9,23.0,14.99
Manaure,20,CO,1581537452,41,11.78,-72.44,93.2,20.8
Hithadhoo,70,MV,1581537453,77,-0.6,73.08,82.87,9.13
Mataura,100,NZ,1581537453,95,-46.19,168.86,57.99,5.01
Kapaa,75,US,1581537419,88,22.08,-159.32,73.4,13.87
Back Mountain,1,US,1581537453,44,41.34,-76.0,43.0,6.78
Saint-Augustin,3,CA,1581537413,81,51.23,-58.65,20.17,10.76
Chester,1,US,1581537454,48,40.13,-75.87,46.99,6.93
Kaitangata,100,NZ,1581537454,59,-46.28,169.85,68.0,15.21
Severo-Kuril'sk,87,RU,1581537454,92,50.68,156.12,19.51,10.02
Raffadali,100,IT,1581537454,59,37.4,13.53,53.01,4.7
Iqaluit,20,CA,1581537454,61,63.75,-68.51,-23.01,11.41
Port Alfred,0,ZA,1581537455,85,-33.59,26.89,69.01,5.01
Palmer,75,US,1581537455,41,42.16,-72.33,45.0,6.93
Hamilton,90,US,1581537305,96,39.18,-84.53,37.4,6.93
Marmato,75,CO,1581537456,56,5.48,-75.59,71.6,8.05
Jamestown,1,US,1581537326,78,42.1,-79.24,37.99,13.87
Vardo,100,NO,1581537456,79,70.37,31.11,24.8,26.4
Parnarama,1,BR,1581537456,88,-5.68,-43.09,78.64,1.5
Mackay,1,AU,1581537456,94,-21.15,149.2,73.4,6.93
Thompson,90,CA,1581537457,62,55.74,-97.86,-16.6,13.87
Marshfield,90,US,1581537457,55,44.67,-90.17,37.99,11.41
Mwinilunga,98,ZM,1581537457,93,-11.74,24.43,65.01,1.57
Bonavista,100,CA,1581537457,86,48.65,-53.11,28.99,11.01
Dunedin,100,NZ,1581537458,59,-45.87,170.5,68.0,8.95
Albany,1,US,1581537165,76,42.6,-73.97,42.01,4.7
Mahebourg,20,MU,1581537409,83,-20.41,57.7,80.6,11.41
Broken Hill,1,AU,1581537458,68,-31.95,141.43,69.8,11.41
Provideniya,75,RU,1581537459,77,64.38,-173.3,5.0,2.24
Punta Arenas,90,CL,1581537459,56,-53.15,-70.92,59.0,20.8
Okha,100,RU,1581537459,92,53.57,142.95,8.74,14.9
Hervey Bay,90,AU,1581537459,88,-25.3,152.85,81.0,8.05
Nishihara,20,JP,1581537530,88,26.18,127.76,69.8,10.29
Morondava,0,MG,1581537530,96,-20.28,44.28,75.07,1.03
Mar del Plata,0,AR,1581537530,81,-38.0,-57.56,86.0,31.0
Lompoc,1,US,1581537530,48,34.64,-120.46,69.01,5.82
Nosy Varika,7,MG,1581537531,92,-20.58,48.53,74.98,6.91
Chui,0,UY,1581537531,61,-33.7,-53.46,73.81,13.73
Broome,1,US,1581537531,55,42.25,-75.83,39.99,4.7
Rikitea,100,PF,1581537421,78,-23.12,-134.97,79.11,17.52
Yellowknife,20,CA,1581537430,73,62.46,-114.35,-27.0,6.93
Kuytun,94,RU,1581537532,98,54.34,101.5,-2.13,2.84
Mareeba,0,AU,1581537532,74,-17.0,145.43,78.8,3.36
Nikolskoye,90,RU,1581537532,86,59.7,30.79,35.01,6.71
Kedougou,0,SN,1581537532,17,12.56,-12.17,82.92,4.27
Qaanaaq,7,GL,1581537417,57,77.48,-69.36,-16.22,4.25
Hambantota,0,LK,1581537533,80,6.12,81.12,80.24,26.33
Tuktoyaktuk,5,CA,1581537533,67,69.45,-133.04,-25.6,6.93
Constitucion,22,CL,1581537533,56,-35.33,-72.42,63.45,19.17
Srivardhan,0,IN,1581537534,66,18.03,73.02,74.44,3.98
Coro,0,VE,1581537534,76,11.4,-69.67,79.45,19.3
Alpena,1,US,1581537367,48,45.06,-83.43,39.99,14.99
Samarai,91,PG,1581537534,89,-10.62,150.67,78.24,5.75
Vaini,75,TO,1581537424,88,-21.2,-175.2,77.0,8.05
East London,49,ZA,1581537535,75,-33.02,27.91,74.59,21.09
